configuration,data_condition,dataset_sizes,final_model_path,seed,test_bleu,test_chrf,test_fta,test_fta_coverage,test_fta_mean_sentence,val_bleu,val_chrf,val_loss
"{""r"": 8, ""alpha"": 64, ""dropout"": 0.0}",original,"{""train"": 13935, ""val"": 1737, ""test"": 1742}",/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no_bokmal/outputs/p2_train_original/seed_42/training/final_model,42,0.6267218277945843,79.7375104129717,0.7591463414634146,0.39150401836969,0.7636852394916912,0.6323996782612981,79.44949975649695,0.6018208265304565
"{""r"": 8, ""alpha"": 64, ""dropout"": 0.0}",original,"{""train"": 13935, ""val"": 1737, ""test"": 1742}",/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no_bokmal/outputs/p2_train_original/seed_123/training/final_model,123,0.6297028036598525,79.94036865509851,0.7449186991869918,0.39150401836969,0.7470674486803518,0.6315820600567558,79.45872773590925,0.6013169288635254
"{""r"": 8, ""alpha"": 64, ""dropout"": 0.0}",original,"{""train"": 13935, ""val"": 1737, ""test"": 1742}",/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no_bokmal/outputs/p2_train_original/seed_456/training/final_model,456,0.6306135790794359,79.85188708653138,0.7449186991869918,0.39150401836969,0.7460899315738023,0.6317701728544705,79.44539281990069,0.6035386323928833
