nb_threshold,nn_threshold,retained,retained_pct,mean_nb,mean_nn
0.6,0.1,9947,71.38141370649443,0.9983351174354361,0.0050801446016477386
0.6,0.2,10053,72.14208826695372,0.9980559644207698,0.006531822093362511
0.6,0.3,10127,72.67312522425547,0.9977716713675838,0.008286543789887928
0.6,0.4,10212,73.28310010764262,0.9973288062818368,0.011143320150508488
0.7,0.1,9945,71.36706135629709,0.9984105974480757,0.005081087155297666
0.7,0.2,10049,72.11338356655902,0.9981977436444999,0.006498056574079584
0.7,0.3,10121,72.63006817366345,0.9979861802869182,0.008204456948401192
0.7,0.4,10203,73.21851453175458,0.9976474937885097,0.010973821153065123
0.8,0.1,9940,71.33118048080374,0.9985307161596939,0.005074769496962801
0.8,0.2,10041,72.05597416576964,0.9983909069488586,0.006456439397066485
0.8,0.3,10113,72.57265877287405,0.9981778009961246,0.008164485933727608
0.8,0.4,10193,73.14675278076786,0.9978858089699638,0.01086752947927537
0.9,0.1,9925,71.22353785432365,0.9987490772300163,0.005026118053921768
0.9,0.2,10023,71.92680301399355,0.9986570595172569,0.006357590352729163
0.9,0.3,10087,72.38607822030858,0.9985599723280132,0.007888304515685039
0.9,0.4,10157,72.88841047721564,0.998401814315971,0.010273705349401122
