model_id,condition,test,seed,field,n,threshold,nb_only_pct,nn_only_pct,mixed_pct,uncertain_pct,nb_only,nn_only,mixed,uncertain,mean_nb,mean_nn,mean_nb_minus_nn
nllb_600m,original_subsampled,original,42,prediction,1742,0.5,0.7824339839265212,0.1486796785304248,0.06314580941446613,0.0057405281285878304,1363,259,110,10,0.841501686747009,0.21177276059480504,0.6297289261522039
nllb_600m,original_subsampled,original,123,prediction,1742,0.5,0.7916188289322618,0.1377726750861079,0.06486796785304248,0.0057405281285878304,1379,240,113,10,0.851708589987697,0.2021259809312909,0.6495826090564062
nllb_600m,original_subsampled,original,456,prediction,1742,0.5,0.7996555683122847,0.1383467278989667,0.0574052812858783,0.004592422502870264,1393,241,100,8,0.8532509794339124,0.196555059275029,0.6566959201588833
nllb_600m,original_subsampled,bokmal,42,prediction,1313,0.5,0.9390708301599391,0.048743335872048744,0.00913937547600914,0.0030464584920030465,1233,64,12,4,0.9476258147547295,0.06262245122055145,0.8850033635341781
nllb_600m,original_subsampled,bokmal,123,prediction,1313,0.5,0.9504950495049505,0.03808073115003808,0.00913937547600914,0.002284843869002285,1248,50,12,3,0.9575214516453281,0.05277341200618296,0.9047480396391452
nllb_600m,original_subsampled,bokmal,456,prediction,1313,0.5,0.9581111957349581,0.03427265803503427,0.006092916984006093,0.0015232292460015233,1258,45,8,2,0.9626493152966975,0.046156783474918514,0.916492531821779
nllb_600m,bokmal,original,42,prediction,1742,0.5,0.9368541905855339,0.001722158438576349,0.05568312284730195,0.0057405281285878304,1632,3,97,10,0.98743210576665,0.05950352561380316,0.9279285801528468
nllb_600m,bokmal,original,123,prediction,1742,0.5,0.936280137772675,0.002296211251435132,0.05568312284730195,0.0057405281285878304,1631,4,97,10,0.9870551124276074,0.05896366650163317,0.9280914459259741
nllb_600m,bokmal,original,456,prediction,1742,0.5,0.939150401836969,0.001148105625717566,0.05453501722158439,0.005166475315729047,1636,2,95,9,0.9878124664553648,0.0580939540947758,0.929718512360589
nllb_600m,bokmal,bokmal,42,prediction,1313,0.5,0.9900990099009901,0.0,0.008377760853008377,0.0015232292460015233,1300,0,11,2,0.9961409611018872,0.014069184197671898,0.9820717769042153
nllb_600m,bokmal,bokmal,123,prediction,1313,0.5,0.9893373952779894,0.0007616146230007616,0.006854531607006854,0.0030464584920030465,1299,1,9,4,0.9942348741643239,0.013692796487551465,0.9805420776767724
nllb_600m,bokmal,bokmal,456,prediction,1313,0.5,0.9916222391469917,0.0,0.006854531607006854,0.0015232292460015233,1302,0,9,2,0.9958836382264888,0.0128359581224167,0.9830476801040722
nllb_1_3b,original_subsampled,original,42,prediction,1742,0.5,0.796211251435132,0.1423650975889782,0.05683122847301952,0.004592422502870264,1387,248,99,8,0.8491089930397842,0.2010779925430081,0.6480310004967761
