model_id,condition,test,field,seeds,n_mean,nb_only_pct_mean,nb_only_pct_std,nn_only_pct_mean,nn_only_pct_std,mixed_pct_mean,mixed_pct_std,uncertain_pct_mean,uncertain_pct_std,mean_nb_mean,mean_nb_std,mean_nn_mean,mean_nn_std,mean_nb_minus_nn_mean,mean_nb_minus_nn_std
nllb_1_3b,bokmal,bokmal,prediction,3,1313.0,0.9916222391469915,0.002015042887330266,0.0007616146230007616,0.0007616146230007616,0.006600660066006601,0.0011633855534287484,0.0010154861640010156,0.0004397184076082451,0.9963030081799308,0.000842361447064725,0.013515171229084326,0.0012903307371344417,0.9827878369508465,0.002125192419727268
nllb_1_3b,bokmal,original,prediction,3,1742.0,0.9427860696517413,0.002831735282615554,0.0013394565633371603,0.0008768801559425641,0.05281285878300804,0.0025022381995067015,0.0030616150019135095,0.0006628590920661604,0.9905241273290413,0.0006493266875078277,0.05745643661251873,0.003251271875256561,0.9330676907165225,0.0037001404786762026
nllb_1_3b,original_subsampled,bokmal,prediction,3,1313.0,0.9573495811119574,0.0065072381914071,0.03376491495303376,0.005816927767143742,0.006600660066006601,0.0008794368152164901,0.002284843869002285,0.0,0.9628971812015853,0.005970700141739999,0.04651087521876094,0.0060678303341800055,0.9163863059828244,0.012034511021318962
nllb_1_3b,original_subsampled,original,prediction,3,1742.0,0.7964026023727516,0.010621269870936013,0.1391121316494451,0.010987276861810636,0.05951014159969384,0.0023200068222315605,0.0049751243781094535,0.0003314295460330803,0.8519415805642615,0.01039589108506651,0.19945919767954368,0.00949386984744932,0.6524823828847178,0.019869664447232805
nllb_3_3b,bokmal,bokmal,prediction,3,1313.0,0.9939070830159938,0.0007616146230007836,0.0,0.0,0.006092916984006093,0.0007616146230007615,0.0,0.0,0.9978283999020087,0.0002415295828961792,0.01235400349237547,0.0006145356006955218,0.9854743964096332,0.0008377017754873047
nllb_3_3b,bokmal,original,prediction,3,1742.0,0.9460390355912743,0.0009942886380992534,0.0007654037504783774,0.00033142954603308024,0.0505166475315729,0.0005740528128587823,0.0026789131266743206,0.0003314295460330803,0.9919153781706832,0.0004861955624159145,0.05524445489006733,0.0006565382554714474,0.9366709232806159,0.0007244989633379529
nllb_3_3b,original_subsampled,bokmal,prediction,3,1313.0,0.962934755013963,0.0081436988740012,0.028941355674028942,0.006045128661990687,0.007362274689007363,0.002448248479561552,0.0007616146230007616,0.0007616146230007616,0.968452531172551,0.006507624936720667,0.042733630699184955,0.0071618137052387315,0.9257189004733662,0.013529152348965894
nllb_3_3b,original_subsampled,original,prediction,3,1742.0,0.7983161117489476,0.006029832092073724,0.13719862227324914,0.006048021672131302,0.06046689628779181,0.0008768801559425644,0.004018369690011481,0.0005740528128587831,0.8542758460361437,0.006681085489348523,0.1988636263660022,0.005596598911628962,0.6554122196701416,0.012254499401964748
nllb_600m,bokmal,bokmal,prediction,3,1313.0,0.9903528814419903,0.0011633855534287578,0.0002538715410002539,0.00043971840760824503,0.007362274689007363,0.0008794368152164901,0.002030972328002031,0.0008794368152164902,0.9954198244975666,0.0010342312288554856,0.013532646269213355,0.0006320187556533773,0.9818871782283534,0.0012629601673331495
nllb_600m,bokmal,original,prediction,3,1742.0,0.9374282433983927,0.0015188009822414328,0.0017221584385763492,0.000574052812858783,0.05530042097206276,0.0006628590920661596,0.005549177190968237,0.0003314295460330803,0.9874332282165407,0.00037867826153665905,0.05885371540340404,0.0007111890745889019,0.9285795128131366,0.0009897581986710471
nllb_600m,original_subsampled,bokmal,prediction,3,1313.0,0.9492256917999492,0.009583440511894801,0.04036557501904037,0.0075010341217030515,0.008123889312008125,0.0017588736304329805,0.002284843869002285,0.0007616146230007616,0.9559321938989184,0.007636798889064752,0.05385088223388431,0.0082855452533965,0.9020813116650341,0.01591306093833438
nllb_600m,original_subsampled,original,prediction,3,1742.0,0.7912361270570226,0.008617168196860087,0.1415996938384998,0.00613816109159795,0.061806352851128975,0.003907496719606225,0.005357826253348641,0.0006628590920661606,0.8488204187228728,0.006384952591981224,0.20348460026704163,0.007699285242091322,0.6453358184558312,0.013976090806907378
