model_id,condition,test,seeds,bleu_mean,bleu_std,chrf_mean,chrf_std,term_recall_mean,term_recall_std,term_precision_mean,term_precision_std,term_f1_mean,term_f1_std
nllb_600m,original,bokmal,3,0.6038201039592708,0.001633133232436342,78.69513694452905,0.05647121652171063,0.8190730837789661,0.007363062228992081,0.7282027302440619,0.004651576327201905,0.7709678412073002,0.0057865179274220425
nllb_600m,original,original,3,0.6290127368446242,0.0020355776017866715,79.84325538486719,0.10170420986817247,0.7496612466124661,0.008214333098226412,0.7029724271062304,0.0038808448694413198,0.7255627556787306,0.005891224039827102
nllb_600m,original_subsampled,bokmal,3,0.5936543477225315,0.0034943884862943374,78.02150437904511,0.2813780140563407,0.8199643493761141,0.009671361147152696,0.7261122476391213,0.002183657375284621,0.7701796191933951,0.005483799759014777
nllb_600m,original_subsampled,original,3,0.6177144023546183,0.003031682519809232,79.12014422791825,0.21665584797840193,0.7605013550135501,0.010866541282076888,0.7035246414245865,0.0022319055357685473,0.7308891836712383,0.006236095181522688
nllb_600m,bokmal,bokmal,3,0.6128493595475282,7.615048458909675e-05,79.3350232774452,0.12233948574110658,0.8587344028520499,0.0015437172972984708,0.7335359860839312,0.0008353313092384826,0.7912130326879513,0.0011412283486754678
nllb_600m,bokmal,original,3,0.5848583909310351,0.0004925463650369557,77.42669286142173,0.10533481491894532,0.8665311653116531,0.0015523630402966872,0.7273242185037442,0.0010586009075239198,0.7908485095053742,0.0012643518007969382
nllb_1_3b,original,bokmal,3,0.6243901168021305,0.0012679697653479073,80.07285833370204,0.0933054269626764,0.8190730837789661,0.0020421460316201972,0.7334539270535998,0.004690850107887029,0.7738996121019572,0.0033401383462503004
nllb_1_3b,original,original,3,0.6478071334551004,0.0014949504406541435,81.08791490513931,0.10972822750249847,0.7523712737127372,0.0025575319902678886,0.7071133245857588,0.0038960979141547275,0.7290358073339117,0.002457378657029163
nllb_1_3b,original_subsampled,bokmal,3,0.6078063291072147,0.0008565623525938407,79.08060881799413,0.15594500837474398,0.8150623885918004,0.004297527077091351,0.7272543592276217,0.00333487287463651,0.7686485885903435,0.0016035451344718781
nllb_1_3b,original_subsampled,original,3,0.6325195810828049,0.0008716048578967237,80.16655241991911,0.10673372807826147,0.7544037940379403,0.009442655734936557,0.7045339636405215,0.0022919819063477002,0.7285935962490996,0.004257672303222187
nllb_1_3b,bokmal,bokmal,3,0.6312563326330272,0.002341941277289876,80.49908879264244,0.049590213404698616,0.8520499108734403,0.002042146031620258,0.7362352852282248,0.0021760195833995214,0.789919878285115,0.0020761684348252867
nllb_1_3b,bokmal,original,3,0.599906680905937,0.002188313889538876,78.45865297963975,0.07316643286137046,0.8628048780487805,0.00101626016260159,0.7293829703450815,0.0011547091503594244,0.7905030149354518,0.0006670624849484174
nllb_3_3b,original,bokmal,3,0.6383186144939725,0.0031659410282108827,80.90584958756801,0.26190232350234266,0.8328877005347594,0.002673796791443861,0.7298010912583082,0.002297140968172989,0.7779398893828756,0.001028219083148985
nllb_3_3b,original,original,3,0.6612885525069061,0.001321121674917256,81.90053831549544,0.15658001443864178,0.763888888888889,0.0005867380784447849,0.7051366716702583,0.0031455630400976623,0.7333358641650956,0.0018587414852568507
nllb_3_3b,original_subsampled,bokmal,3,0.6270633042885569,0.0024018413384654966,80.12417324774516,0.10498622010594438,0.8288770053475936,0.018859272700088046,0.7293789490232832,0.003612679259534696,0.7759054090281331,0.009980249309910696
nllb_3_3b,original_subsampled,original,3,0.6515073595762505,0.0016176453422625675,81.20586829262994,0.11106890226109699,0.758130081300813,0.01626016260162605,0.7044002256193731,0.0035256149418273755,0.7302449588719847,0.009414281431764485
nllb_3_3b,bokmal,bokmal,3,0.6446768416947355,0.0017366032174492999,81.23458312676624,0.14250539781966168,0.8533868092691622,0.003364453848159884,0.7278760873407724,0.0040162637723308225,0.7856437073290028,0.00260364140279862
nllb_3_3b,bokmal,original,3,0.609125939943073,0.0017186435119447624,79.03314283864727,0.1169196053455713,0.8631436314363143,0.0011734761568894417,0.7234642556920268,0.0031557006591667485,0.787151436244459,0.0014602691880101365
